V1	V2	V3
CAGL0A02816g	ORF|Uncharacterized	NULL
CAGL0A02838g	ORF|Uncharacterized	NULL
CAGL0A02860g	ORF|Uncharacterized	NULL
CAGL0A02882g	ORF|Uncharacterized	NULL
CAGL0A02904g	ORF|Uncharacterized	NULL
CAGL0A02926g	ORF|Uncharacterized	NULL
CAGL0A02948g	ORF|Uncharacterized	NULL
CAGL0A02970g	ORF|Uncharacterized	NULL
CAGL0A02981g	ORF|Uncharacterized	NULL
CAGL0A02992g	ORF|Uncharacterized	NULL
CAGL0A03014g	ORF|Uncharacterized	NULL
CAGL0A03036g	ORF|Uncharacterized	NULL
CAGL0A03051g	ORF|Uncharacterized	NULL
CAGL0A03058g	ORF|Uncharacterized	NULL
CAGL0A03080g	ORF|Uncharacterized	NULL
CAGL0A03102g	ORF|Uncharacterized	NULL
CAGL0A03117g	ORF|Uncharacterized	NULL
CAGL0A03146g	ORF|Uncharacterized	NULL
CAGL0A03168g	ORF|Verified	NULL
CAGL0A03190g	ORF|Uncharacterized	NULL
CAGL0A03212g	ORF|Uncharacterized	NULL
CAGL0A03234g	ORF|Uncharacterized	NULL
CAGL0A03256g	ORF|Uncharacterized	NULL
CAGL0A03278g	ORF|Uncharacterized	NULL
CAGL0A03300g	ORF|Uncharacterized	NULL
CAGL0A03322g	ORF|Uncharacterized	NULL
CAGL0A03344g	ORF|Uncharacterized	NULL
CAGL0A03355r	ncRNA|Uncharacterized	NULL
CAGL0A03366g	ORF|Uncharacterized	NULL
CAGL0A03388g	ORF|Uncharacterized	NULL
CAGL0A03410g	ORF|Uncharacterized	NULL
CAGL0A03432g	ORF|Uncharacterized	NULL
CAGL0A03454g	ORF|Uncharacterized	NULL
CAGL0A03476g	ORF|Uncharacterized	NULL
CAGL0A03498g	ORF|Uncharacterized	NULL
CAGL0A03520r	tRNA|Uncharacterized	NULL
CAGL0A03542g	ORF|Uncharacterized	NULL
CAGL0A03564g	ORF|Uncharacterized	NULL
CAGL0A03586g	ORF|Uncharacterized	NULL
CAGL0A03608g	ORF|Uncharacterized	NULL
CAGL0A03630g	ORF|Uncharacterized	NULL
CAGL0A03652g	ORF|Uncharacterized	NULL
CAGL0A03674g	ORF|Uncharacterized	NULL
CAGL0A03696g	ORF|Uncharacterized	NULL
CAGL0A03718g	ORF|Uncharacterized	NULL
CAGL0A03740g	ORF|Uncharacterized	NULL
CAGL0A03762r	tRNA|Uncharacterized	NULL
CAGL0A03784g	ORF|Uncharacterized	NULL
CAGL0A03806g	ORF|Uncharacterized	NULL
CAGL0A03828g	ORF|Uncharacterized	NULL
CAGL0A03850r	tRNA|Uncharacterized	NULL
CAGL0A03872g	ORF|Uncharacterized	NULL
CAGL0A03883g	ORF|Uncharacterized	NULL
CAGL0A03905g	ORF|Uncharacterized	NULL
CAGL0A03927g	ORF|Uncharacterized	NULL
CAGL0A03949g	ORF|Uncharacterized	NULL
CAGL0A03971g	ORF|Uncharacterized	NULL
CAGL0A03993g	ORF|Uncharacterized	NULL
CAGL0A04015g	ORF|Uncharacterized	NULL
CAGL0A04037g	ORF|Uncharacterized	NULL
CAGL0A04059g	ORF|Uncharacterized	NULL
CAGL0A04081g	ORF|Uncharacterized	NULL
CAGL0A04103g	ORF|Uncharacterized	NULL
CAGL0A04125g	ORF|Uncharacterized	NULL
CAGL0A04147g	ORF|Uncharacterized	NULL
CAGL0A04169g	ORF|Uncharacterized	NULL
CAGL0A04191g	ORF|Uncharacterized	NULL
CAGL0A04213g	ORF|Uncharacterized	NULL
CAGL0A04235g	ORF|Uncharacterized	NULL
CAGL0A04257g	ORF|Uncharacterized	NULL
CAGL0A04279g	ORF|Uncharacterized	NULL
CAGL0A04301g	ORF|Uncharacterized	NULL
CAGL0A04323g	ORF|Uncharacterized	NULL
CAGL0A04345g	ORF|Uncharacterized	NULL
CAGL0A04367g	ORF|Uncharacterized	NULL
CAGL0A04389g	ORF|Uncharacterized	NULL
CAGL0A04411g	ORF|Uncharacterized	NULL
CAGL0A04433g	ORF|Uncharacterized	NULL
CAGL0A04455g	ORF|Verified	NULL
CAGL0A04477g	ORF|Uncharacterized	NULL
CAGL0A04499g	ORF|Uncharacterized	NULL
CAGL0A04521g	ORF|Uncharacterized	NULL
CAGL0A04532r	ncRNA|Uncharacterized	NULL
CAGL0A04543g	ORF|Uncharacterized	NULL
CAGL0A04565g	ORF|Uncharacterized	NULL
CAGL0A04587g	ORF|Uncharacterized	NULL
CAGL0A04631g	ORF|Uncharacterized	NULL
CAGL0A04653g	ORF|Uncharacterized	NULL
CAGL0A04675g	ORF|Uncharacterized	NULL
CAGL0A04697g	ORF|Uncharacterized	NULL
CAGL0A04719g	ORF|Uncharacterized	NULL
CAGL0A04741g	ORF|Uncharacterized	NULL
CAGL0A04785g	ORF|Uncharacterized	NULL
CAGL0A04807g	ORF|Uncharacterized	NULL
CAGL0A04829g	ORF|Uncharacterized	NULL
CAGL0A04873g	pseudogene	NULL
CAGL0B00105g	ORF|Uncharacterized	NULL
CAGL0B00110g	pseudogene	NULL
CAGL0B00116g	ORF|Uncharacterized	NULL
CAGL0B00165r	tRNA|Uncharacterized	NULL
CAGL0B00220g	ORF|Uncharacterized	NULL
CAGL0B00242g	ORF|Uncharacterized	NULL
CAGL0B00264g	ORF|Uncharacterized	NULL
CAGL0B00286g	ORF|Uncharacterized	NULL
CAGL0B00308g	ORF|Uncharacterized	NULL
CAGL0B00330g	ORF|Uncharacterized	NULL
CAGL0B00352g	ORF|Uncharacterized	NULL
CAGL0B00374g	ORF|Uncharacterized	NULL
CAGL0B00396g	ORF|Uncharacterized	NULL
CAGL0B00418g	ORF|Uncharacterized	NULL
CAGL0B00440g	ORF|Uncharacterized	NULL
CAGL0B00462g	ORF|Uncharacterized	NULL
